,CK_1,CK_2,CK_3,CK_4,CK_5,CK_6,Bla_1,Bla_2,Bla_3,Bla_4,Bla_5,Bla_6,Gre_1,Gre_2,Gre_3,Gre_4,Gre_5,Gre_6,Gre_7,Gre_8,Whi_1,Whi_2,Whi_3,Whi_4,Whi_5,Whi_6,Whi_7
Proteobacteria,27.31,32.36,50.84,34.51,27,34.72,31.83,34.56,33.05,24.25,24.98,22.97,47.55,47.14,53.2,19,20.89,21.07,61.4,57.96,43.1,41.05,43.18,45.47,51.28,66.64,67.63
Actinobacteriota,36.63,28.6,23.87,28.79,32.19,27.79,19.09,17.8,19.08,10.02,25.89,21.22,30.33,29.88,24.14,44.91,41.29,38.19,16.21,23.33,27.18,42.31,37.2,36.23,18.95,5.55,16.53
Cyanobacteria,17.08,22.66,11.82,21.7,21.02,22.17,19.08,23.18,21.58,43.98,23.47,25.8,2.66,4.51,3.13,3.71,4.08,3.31,4.51,1.08,12.22,5.28,5.59,2.42,2.27,1.96,1.43
Chloroflexi,6.14,5.38,4.95,4.9,6.14,4.72,14.45,11.26,12.59,10.72,15.27,15.54,6.25,7.09,4.46,4.41,6.33,5.81,2.05,3.67,6.77,3.59,4.92,2.3,2.09,0.63,1.03
Acidobacteriota,4,1.75,1.17,2.46,4.77,2.41,2.8,2.77,2.84,0.57,0.09,0.73,3.32,2.07,4.59,12.2,9.15,11.45,8.55,6.4,1.76,0.93,0.96,5.84,11.23,21.6,4.79
Bacteroidota,1.31,1.7,0.45,1.84,1.34,2.92,2.01,2.54,1.82,1.42,2.05,1.6,1.96,1.9,2.48,1.57,2.75,3.19,4.42,5.23,2.21,2.3,2.54,3.72,8.08,3.46,5.8
Planctomycetota,1.53,1.11,0.79,1.05,2.42,1,4.63,2.65,3.03,4.6,1.97,5.36,2.52,2.21,2.21,2.16,1.63,2.63,0.01,0.08,2.19,0.94,2.01,0.02,0.08,0,0.03
Gemmatimonadota,2.41,1.84,1.07,1.18,2.05,1.06,1.17,1.43,1.56,1.52,2.52,3.26,1.21,1.6,1.09,3.65,3.47,3.18,0.14,0.66,0.99,1.06,1,0.38,0.25,0.01,0.11
Myxococcota,0.66,0.75,0.18,0.47,0.22,0.56,1.66,1.33,1.23,1.72,0.27,1.57,1.55,1.14,2.29,3.23,3.55,3.54,1.62,0.61,1.65,0.65,0.43,0.68,4.13,0.02,0.5
Deinococcota,1.55,3.24,4.59,1.75,1.28,1.55,0.89,0.4,1.07,0.06,1.8,0.36,0.23,0.23,0.16,0.03,0.03,0.02,0.21,0.04,0.47,0.83,0.33,0.04,0.04,0.01,0.03
Others,1.37,0.62,0.28,1.35,1.57,1.11,2.38,2.08,2.16,1.13,1.7,1.6,2.43,2.24,2.26,5.12,6.83,7.62,0.87,0.94,1.47,1.05,1.85,2.9,1.59,0.12,2.12
